place,Total_Time,Swim_Time,Bike_Time,Run_Time
186,35100.0,3781.0000000000005,18033.0,12877.0
187,35105.0,4099.0,18307.0,12194.0
188,35130.0,3563.0,18824.0,12426.0
189,35140.0,3861.0000000000005,18650.0,12303.0
190,35141.0,3646.0,19159.0,12052.0
191,35154.0,3519.0,18021.0,13410.0
192,35167.0,3601.0,18003.0,13200.0
193,35167.0,3439.0,19017.0,12343.0
194,35183.0,3657.0000000000005,18321.0,12805.0
195,35190.0,4025.0000000000005,18484.0,12395.0
196,35203.0,3522.0,18224.0,13135.0
197,35210.0,4173.0,18965.0,11771.0
198,35212.0,4261.0,17929.0,12514.0
199,35217.0,3947.0000000000005,18035.0,12938.0
200,35223.0,4031.0000000000005,18375.0,12462.0
201,35225.0,3748.0000000000005,18675.0,12462.0
202,35229.0,3703.0000000000005,17469.0,13760.0
203,35237.0,3486.0,18603.0,12907.0
204,35243.0,3790.0000000000005,18243.0,12867.0
205,35243.0,3981.0000000000005,18206.0,12652.0
206,35269.0,3867.0000000000005,19415.0,11751.0
207,35272.0,3275.0,17902.0,13817.0
208,35286.0,3863.0000000000005,19014.0,12140.0
209,35303.0,3698.0000000000005,17817.0,13544.0
210,35314.0,3704.0000000000005,18121.0,13138.0
211,35329.0,3942.0000000000005,17389.0,13729.0
212,35331.0,3471.0,18409.0,13159.0
213,35332.0,4126.0,18741.0,12234.0
214,35350.0,3612.0,19583.0,11837.0
215,35360.0,4243.0,18761.0,12132.0
216,35365.0,3924.0000000000005,18287.0,12828.0
217,35377.0,3939.0000000000005,18612.0,12635.0
218,35390.0,3438.0,18480.0,13224.0
219,35392.0,4228.0,18511.0,12318.0
220,35399.0,3652.0000000000005,17324.0,14181.0
221,35404.0,3649.0,17920.0,13468.0
222,35419.0,3712.0000000000005,18165.0,13161.0
223,35442.0,3949.0000000000005,18699.0,12529.0
224,35451.0,4021.0000000000005,18461.0,12517.0
225,35473.0,4184.0,18519.0,12429.0
226,35482.0,3399.0,18529.0,13280.0
227,35506.0,4233.0,18657.0,12244.0
228,35511.0,4305.0,19309.0,11582.0
229,35514.0,4018.0000000000005,18452.0,12769.0
230,35525.0,3809.0000000000005,18475.0,12973.0
231,35527.0,3844.0000000000005,18158.0,13169.0
232,35528.0,3688.0000000000005,17655.0,13768.0
233,35539.0,3991.0000000000005,18399.0,12903.0
234,35546.0,3243.0,17349.0,14737.000000000002
235,35546.0,3547.0,18736.0,12988.0
236,35554.0,4043.0000000000005,18973.0,12208.0
237,35560.0,4595.0,18750.0,11851.0
238,35583.0,4921.0,17920.0,12281.0
239,35599.0,4337.0,18441.0,12509.0
239,35599.0,3961.0000000000005,18521.0,12642.0
241,35607.0,4380.0,18555.0,12416.0
242,35612.0,4297.0,18286.0,12747.0
243,35615.0,3583.0,18958.0,12689.0
244,35616.0,5430.0,17960.0,11876.0
245,35621.0,3802.0000000000005,18177.0,13253.0
246,35634.0,3728.0000000000005,18703.0,12887.0
247,35652.0,4035.0000000000005,18745.0,12606.0
248,35665.0,4295.0,19278.0,11788.0
249,35665.0,3901.0000000000005,18740.0,12462.0
250,35667.0,3727.0000000000005,18286.0,13332.0
251,35674.0,3368.0,18292.0,13589.0
252,35677.0,3468.0,18829.0,13047.0
253,35686.0,3366.0,19483.0,12583.0
254,35690.0,3849.0000000000005,18309.0,13207.0
255,35709.0,3882.0000000000005,19939.0,11614.0
256,35719.0,3868.0000000000005,18502.0,13086.0
257,35732.0,3747.0000000000005,18008.0,13707.0
258,35745.0,4017.0000000000005,18781.0,12676.0
259,35746.0,3379.0,19403.0,12666.0
260,35746.0,3791.0000000000005,18548.0,12935.0
261,35755.0,3719.0000000000005,18849.0,12934.0
262,35757.0,3649.0,18863.0,12979.0
263,35758.0,3386.0,18334.0,13691.0
264,35768.0,3869.0000000000005,18591.0,12947.0
265,35768.0,4202.0,18245.0,12927.0
266,35771.0,4060.0000000000005,17973.0,13302.0
267,35778.0,3892.0000000000005,19095.0,12482.0
268,35793.0,3876.0000000000005,17958.0,13618.0
269,35803.0,4275.0,18864.0,12388.0
270,35807.0,3759.0000000000005,17986.0,13418.0
271,35815.0,4093.0000000000005,18903.0,12524.0
272,35826.0,3792.0000000000005,18734.0,13025.0
273,35835.0,3666.0000000000005,18820.0,13033.0
274,35845.0,4368.0,17770.0,13415.0
275,35857.0,3644.0,18868.0,12971.0
276,35875.0,3667.0000000000005,18344.0,13483.0
277,35890.0,3358.0,16957.0,15366.000000000002
278,35897.0,3547.0,18600.0,13501.0
279,35903.0,3947.0000000000005,19143.0,12550.0
280,35933.0,4445.0,19769.0,11259.0
281,35934.0,4019.0000000000005,17959.0,13574.0
282,35943.0,3762.0000000000005,19047.0,12846.0
283,35968.0,3791.0000000000005,19310.0,12326.0
284,35968.0,4430.0,18381.0,12838.0
285,36008.0,4183.0,19322.0,11997.0
286,36011.0,4326.0,18935.0,12349.0
287,36014.0,3841.0000000000005,18275.0,13620.0
288,36017.0,4091.0000000000005,18847.0,12876.0
289,36027.0,4219.0,19119.0,12288.0
290,36052.0,4237.0,18212.0,13317.0
291,36072.0,4462.0,18625.0,12555.0
292,36095.0,3968.0000000000005,18800.0,13058.0
293,36096.0,3266.0,18947.0,13639.0
294,36099.0,3999.0000000000005,19294.0,12528.0
295,36112.0,3873.0000000000005,18870.0,13076.0
296,36118.0,3673.0000000000005,19873.0,12277.0
297,36151.0,3746.0000000000005,19736.0,12316.0
298,36153.0,4081.0000000000005,18459.0,13304.0
299,36153.0,3676.0000000000005,19694.0,12395.0
300,36161.0,4392.0,18810.0,12583.0
301,36167.0,4495.0,18498.0,12881.0
302,36180.0,3698.0000000000005,19319.0,12779.0
303,36190.0,3809.0000000000005,18405.0,13700.0
304,36201.0,3934.0000000000005,19016.0,12874.0
305,36220.0,4102.0,18822.0,12952.0
305,36220.0,3362.0,18863.0,13729.0
307,36224.0,3436.0,19280.0,13190.0
308,36233.0,4948.0,19457.0,11503.0
309,36256.0,4082.0000000000005,18859.0,13029.0
310,36276.0,3435.0,17628.0,14943.000000000002
311,36281.0,4022.0000000000005,19428.0,12460.0
312,36286.0,4743.0,18311.0,12906.0
313,36293.0,4528.0,19362.0,12051.0
314,36294.0,3724.0000000000005,19258.0,12952.0
315,36300.0,3590.0,19459.0,12957.0
316,36301.0,4915.0,18540.0,12270.0
317,36312.0,3296.0,19184.0,13443.0
318,36321.0,4001.0000000000005,18518.0,13367.0
319,36331.0,4194.0,19196.0,12558.0
320,36343.0,4509.0,17801.0,13634.0
321,36345.0,3860.0000000000005,18943.0,13189.0
322,36349.0,4629.0,17770.0,13621.0
323,36362.0,3618.0,18590.0,13695.0
324,36368.0,4249.0,19089.0,12683.0
325,36392.0,3848.0000000000005,19302.0,12934.0
326,36404.0,3992.0000000000005,18455.0,13678.0
327,36426.0,3894.0000000000005,18851.0,13400.0
328,36444.0,3633.0,18619.0,13913.0
329,36450.0,3798.0000000000005,18794.0,13621.0
330,36452.0,4487.0,20026.0,11606.0
331,36467.0,4438.0,18246.0,13423.0
332,36467.0,3421.0,18800.0,13982.0
333,36474.0,3686.0000000000005,19228.0,13334.0
334,36474.0,4230.0,19200.0,12655.0
335,36486.0,4492.0,18982.0,12737.0
336,36496.0,4275.0,18700.0,13106.0
337,36501.0,3814.0000000000005,18204.0,14131.0
338,36519.0,3660.0000000000005,17931.0,14516.0
339,36523.0,4037.0000000000005,18999.0,13067.0
340,36524.0,3854.0000000000005,18929.0,13463.0
341,36539.0,3668.0000000000005,18482.0,14057.0
342,36540.0,4371.0,18501.0,13320.0
343,36549.0,4057.0000000000005,19359.0,12788.0
344,36551.0,3412.0,18295.0,14412.0
345,36562.0,3646.0,18412.0,14252.0
346,36570.0,4297.0,17203.0,14724.000000000002
347,36575.0,4400.0,19631.0,12163.0
348,36595.0,3012.0,19376.0,13734.0
349,36610.0,4187.0,19451.0,12600.0
350,36614.0,4702.0,18925.0,12552.0
351,36616.0,3352.0,19484.0,13475.0
352,36630.0,3901.0000000000005,17964.0,14443.0
353,36652.0,2878.0,17939.0,15576.000000000002
354,36662.0,4192.0,19388.0,12569.0
355,36669.0,4571.0,18542.0,13176.0
356,36670.0,4352.0,19889.0,12047.0
357,36677.0,3685.0000000000005,19390.0,13321.0
358,36680.0,4325.0,18656.0,13377.0
359,36694.0,4143.0,19739.0,12480.0
360,36695.0,4357.0,19321.0,12614.0
361,36705.0,3496.0,18954.0,13860.0
362,36706.0,3349.0,18491.0,14488.0
363,36716.0,4600.0,17423.0,14394.0
364,36719.0,3915.0000000000005,19352.0,13080.0
365,36721.0,3968.0000000000005,18702.0,13653.0
366,36721.0,3459.0,19796.0,13157.0
367,36731.0,4296.0,19857.0,12244.0
368,36734.0,3689.0000000000005,19276.0,13359.0
369,36738.0,3894.0000000000005,19664.0,12577.0
370,36748.0,4026.0000000000005,19117.0,13170.0
371,36780.0,3547.0,19526.0,13408.0
372,36796.0,4342.0,18570.0,13605.0
373,36801.0,3884.0000000000005,19155.0,13525.0
374,36815.0,3588.0,19038.0,13867.0
375,36816.0,4075.0000000000005,19037.0,13276.0
376,36829.0,4397.0,18044.0,14060.0
377,36839.0,4244.0,19082.0,12948.0
378,36840.0,4385.0,19244.0,12750.0
379,36855.0,4069.0000000000005,20034.0,12377.0
380,36862.0,4411.0,19268.0,12832.0
381,36877.0,4039.0000000000005,19425.0,12880.0
382,36880.0,3810.0000000000005,18434.0,14300.0
383,36887.0,3971.0000000000005,18922.0,13568.0
384,36892.0,4058.0000000000005,19794.0,12740.0
385,36902.0,4082.0000000000005,19457.0,13019.0
386,36904.0,3992.0000000000005,19219.0,13274.0
387,36919.0,3558.0,18766.0,14043.0
